Date,Cases,Test,DaysWithVirus,TotalCases
3/9/20,1,105,1,1
3/10/20,7,41,2,8
3/11/20,6,48,3,14
3/12/20,13,207,4,27
3/13/20,9,248,5,36
3/14/20,7,208,6,43
3/15/20,12,119,7,55
3/16/20,14,97,8,69
3/17/20,17,172,9,86
3/18/20,23,210,10,109
3/19/20,28,313,11,137
3/20/20,63,401,12,200
3/21/20,45,303,13,245
3/22/20,68,627,14,313
3/23/20,32,134,15,345
3/24/20,98,457,16,443
3/25/20,115,558,17,558
3/26/20,116,608,18,674
3/27/20,112,366,19,786
3/28/20,115,540,20,901
3/29/20,88,398,21,989
3/30/20,86,422,22,1075
